"0.64325"," 0.81275"," 1.691"," 1.93625"," 1.2185"," 0.905","2","3","1","1","1","2","1","42.938"
"0.5915"," 0.911"," 1.98575"," 0.90425"," 1.4697499"," 1.4007499","3","2","2","2","2","2","1","54.2076"
"1.874"," 1.27175"," 0.638"," 1.1795"," 0.827"," 1.829","3","2","2","2","2","1","2","115.956"
"1.84025"," 0.74224997"," 0.935"," 1.5065"," 0.73175"," 0.74525","3","2","2","1","1","1","1","59.5641"
"0.824"," 1.12475"," 1.1600001"," 0.84575"," 0.50675"," 1.652","1","3","2","2","1","1","2","71.2261"
"1.4345"," 1.0910001"," 1.10375"," 1.29725"," 0.88699996"," 0.9455","2","2","1","2","1","2","2","26.8335"
"0.8405"," 1.592"," 1.12025"," 1.0092499"," 1.7030001"," 1.03775","1","1","1","1","1","1","1","41.4624"
"1.064"," 0.97249997"," 1.61675"," 1.6602501"," 1.9055"," 0.8345","1","3","2","1","2","2","1","88.2992"
"0.79625"," 1.49975"," 1.586"," 1.9152501"," 0.7325"," 1.26425","3","3","1","2","2","1","1","100.072"
"0.89675"," 1.98725"," 1.36175"," 1.9985"," 1.733"," 1.931","2","1","2","2","1","1","2","52.221"
"1.65875"," 0.87725"," 1.54325"," 1.6265"," 1.0205"," 1.96325","1","2","2","2","2","1","1","44.7673"
"1.5830001"," 1.0625"," 1.59425"," 1.619"," 1.37975"," 1.00775","3","2","2","2","1","2","2","20.0154"
"0.701"," 1.41275"," 0.52175"," 1.84475"," 1.22225"," 0.85475004","1","1","2","3","2","1","2","124.233"
"1.0595"," 1.232"," 1.48775"," 1.88"," 0.81575"," 0.52475","1","1","2","2","1","1","1","50.894"
"0.9005"," 1.3835"," 0.86225"," 0.77375"," 1.61525"," 0.87049997","2","3","2","2","2","2","1","98.7025"
"1.19375"," 1.19975"," 0.54125"," 1.298"," 1.58075"," 1.58","3","3","1","3","1","2","1","19.5603"
